"Options.SECTION:[algernon.HistoricalStart]","Historical Start"
"Options.OPTION:ResetModSettings","Reset to default"
"Options.OPTION:UnlockBus","Unlock buses"
"Options.OPTION_DESCRIPTION:UnlockBus","Unlocks bus transport."
"Options.OPTION:UnlockTrams","Unlock trams"
"Options.OPTION_DESCRIPTION:UnlockTrams","Unlocks tram transport."
"Options.OPTION:UnlockTrains","Unlock rail"
"Options.OPTION_DESCRIPTION:UnlockTrains","Unlocks trains and rail transport."
"Options.OPTION:UnlockShips","Unlock shipping"
"Options.OPTION_DESCRIPTION:UnlockShips","Unlocks shipping."
"Options.OPTION:UnlockFarming","Unlock advanced farming"
"Options.OPTION_DESCRIPTION:UnlockFarming","Unlocks vegetable and cotton farming."
"Options.OPTION:UnlockMining","Unlock mining"
"Options.OPTION_DESCRIPTION:UnlockMining","Unlocks ore and coal mining."
"Options.OPTION:UnlockOil","Unlock oil"
"Options.OPTION_DESCRIPTION:UnlockOil","Unlocks oil drilling."
"Options.OPTION:UnlockBasicHighways","Unlock basic highways"
"Options.OPTION_DESCRIPTION:UnlockBasicHighways","Unlocks smaller two-way highways."
"Options.OPTION:UnlockAllHighways","Unlock all highways"
"Options.OPTION_DESCRIPTION:UnlockAllHighways","Unlocks all highways."
"Options.OPTION_DESCRIPTION:ResetModSettings","Resets all Historical Start mod settings to default"
"Options.WARNING:ResetModSettings","Reset all Historical Start settings to default?  This cannot be undone."
