"Options.SECTION:[algernon.HistoricalStart]","Historical Start"
"Options.OPTION:ResetModSettings","Restablecer por defecto"
"Options.OPTION:UnlockBus","Desbloquear autobuses"
"Options.OPTION_DESCRIPTION:UnlockBus","Desbloquea el transporte en autobús."
"Options.OPTION:UnlockTrams","Desbloquear tranvías"
"Options.OPTION_DESCRIPTION:UnlockTrams","Desbloquea el transporte por tranvía."
"Options.OPTION:UnlockTrains","Desbloquear trenes"
"Options.OPTION_DESCRIPTION:UnlockTrains","Desbloquea los trenes y el transporte ferroviario."
"Options.OPTION:UnlockShips","Desbloquear barcos"
"Options.OPTION_DESCRIPTION:UnlockShips","Desbloquea los barcos."
"Options.OPTION:UnlockFarming","Desbloquear la agricultura avanzada"
"Options.OPTION_DESCRIPTION:UnlockFarming","Desbloquea la agricultura de verduras y algodones."
"Options.OPTION:UnlockMining","Desbloquear minería"
"Options.OPTION_DESCRIPTION:UnlockMining","Desbloquea la extracción de mineral y carbón."
"Options.OPTION:UnlockOil","Desbloquear petróleo"
"Options.OPTION_DESCRIPTION:UnlockOil","Desbloquea la perforación de petróleo."
"Options.OPTION:UnlockBasicHighways","Desbloquear autopistas básicas"
"Options.OPTION_DESCRIPTION:UnlockBasicHighways","Desbloquea autopistas bidireccionales de dos carriles."
"Options.OPTION:UnlockAllHighways","Desbloquear todas las autopistas"
"Options.OPTION_DESCRIPTION:UnlockAllHighways","Desbloquea todas las autopistas."
"Options.OPTION:UnlockDistricts","Unlock districts"
"Options.OPTION_DESCRIPTION:UnlockDistricts","Unlocks the ability to draw districts and assign services.  This does not unlock district policies."
"Options.OPTION_DESCRIPTION:ResetModSettings","Restablece los ajustes del mod a sus valores por defecto"
"Options.WARNING:ResetModSettings","¿Seguro de restablecer los ajustes del mod a sus valores por defecto? Esta acción no se puede deshacer."
